,point_differential,home_offensive_efficiency,away_offensive_efficiency,home_defensive_efficiency,away_defensive_efficiency
229,-3,95.36784741144415,98.66220735785953,100.47683923705722,93.64548494983278
232,-2,101.5925315760571,104.9144119271121,104.3382756727073,102.15350635008282
234,8,109.40272028385571,89.96728462377317,97.57539917208751,100.8724100327154
236,-14,96.84832567301379,118.73780091086532,119.82928430728825,95.9661678594665
239,-22,96.51307596513077,130.75965130759653,130.75965130759653,96.51307596513077
241,24,95.06680369989722,64.43298969072166,64.23432682425488,95.36082474226805
243,15,109.52102803738318,87.05745792222866,87.61682242990653,108.82182240278584
244,6,99.51010410287815,86.30778232884728,90.32455603184324,95.08484493856056
245,9,130.51668460710442,119.11207363291825,118.40688912809473,131.2939902544667
246,-25,86.463923673226,118.16628701594534,123.73285629099581,82.57403189066059
247,30,104.59710743801654,63.464410154305625,65.85743801652893,100.79641612742658
252,1,95.39473684210526,91.4047466324567,93.75,93.00833867864016
255,8,115.30398322851153,99.17920656634746,101.3277428371768,112.85909712722298
256,11,129.2813969106783,113.63636363636364,110.81262592343855,132.57575757575756
257,8,117.2879177377892,100.61919504643964,104.43444730077121,113.00309597523221
260,5,112.47152619589977,112.59890444309191,105.35307517084283,120.20693852708459
262,13,110.52303860523041,88.5766646304215,90.28642590286427,108.43005497861941
263,-3,82.93838862559242,80.16304347826087,87.38151658767774,76.08695652173914
264,12,124.90948587979724,102.73972602739725,103.18609703113685,124.36914203316509
265,8,103.31978319783197,92.14186369958274,89.76964769647697,106.0500695410292
266,20,92.2007255139057,66.51524983776768,61.97097944377268,98.96171317326412
267,15,121.09623964308479,93.44362745098039,97.19566602931803,116.421568627451
270,1,95.25296689569018,97.27626459143968,93.69144284821985,98.8975356679637
274,23,108.6318261890781,75.08833922261485,74.86788021139165,108.95170789163721
278,7,117.58691206543968,102.24274406332454,105.6578050443081,113.78627968337732
280,22,116.83848797250857,77.7552400270453,79.03780068728523,114.9425287356322
283,20,118.42959117456198,89.95247793618465,85.98312783906555,123.8968092328581
290,18,108.41423948220066,77.18966603654694,79.28802588996764,105.54505356017643
293,1,100.83226632522407,97.30069052102951,99.23175416133162,98.87005649717514
295,17,99.93224932249322,73.73595505617978,71.13821138211382,103.5814606741573
296,14,98.8975356679637,74.69802924348379,76.19974059662775,96.94850603941512
299,14,95.12683578104138,67.103620474407,71.76234979973297,88.95131086142322
307,18,113.55815554026154,76.38446849140675,82.58774948382657,105.02864417568428
309,15,102.59740259740259,82.60196179659266,83.11688311688312,101.96179659266906
311,38,123.19228709159079,75.67264573991032,72.3085163363685,128.9237668161435
312,31,126.49232518476407,79.75797579757976,82.4332006822058,122.38723872387239
313,16,126.99771689497716,101.72798216276477,104.16666666666667,124.02452619843922
314,11,107.6478149100257,86.63366336633663,89.97429305912597,103.6509900990099
318,27,120.7165109034268,91.61576901721266,85.66978193146417,129.09494725152692
320,7,117.9245283018868,102.73972602739725,108.21309655937847,111.95995785036881
322,27,104.43864229765012,62.16397849462365,60.378590078328976,107.5268817204301
323,14,115.42639869636066,92.15991692627206,96.4149918522542,110.33229491173415
324,-3,96.37514384349828,99.94288977727012,100.69044879171463,95.65962307252998
326,12,130.40901007705986,111.76470588235294,112.62596324836989,129.41176470588235
328,3,90.70294784580499,90.07678676904902,86.45124716553288,94.50679267572357
329,10,123.51190476190477,102.64341957255343,108.63095238095238,116.70416197975253
338,-5,87.4125874125874,91.29640900791236,95.35918626827717,83.68837492391967
339,23,118.05555555555556,87.17660292463442,86.11111111111111,119.51631046119235
340,14,108.48445595854923,81.89122373300371,85.81606217616581,103.52286773794808
345,-17,84.41943127962087,108.18713450292397,109.59715639810427,83.33333333333333
346,20,103.22922181048173,75.44224765868887,76.76019057702487,101.45681581685744
348,8,130.1939058171745,117.42217367558712,119.11357340720221,128.34516657564174
351,-4,116.7929292929293,122.64150943396226,123.1060606060606,116.35220125786164
352,-9,98.92594686263425,111.3931190073322,111.64499717354437,98.70276367738296
353,-8,109.68432316746923,117.3096976016684,120.3852327447833,106.88216892596454
356,-10,93.84615384615384,110.52303860523041,109.23076923076923,94.95641344956414
357,8,124.84957882069794,113.56753482737733,112.81588447653428,125.68140520896425
359,-6,81.1298076923077,87.82201405152226,90.14423076923077,79.03981264637004
360,14,126.16009280742458,103.75213189312109,105.85846867749417,123.6498010233087
361,23,116.82242990654206,82.99359347699476,83.23598130841121,116.48223645894001
362,1,114.01098901098901,111.59499183451278,112.63736263736264,112.95590636908001
365,8,123.08715901530275,103.57815442561204,109.7804391217565,116.13308223477716
367,1,94.99136442141622,94.14831981460023,93.55210132412203,95.59675550405561
368,3,104.97416020671835,92.98140371925614,100.12919896640827,97.48050389922015
369,17,130.22410660205935,105.95823095823096,104.48213204118714,132.06388206388206
371,-7,93.26113116726835,102.07100591715977,103.79061371841154,91.71597633136096
373,6,126.12851832182687,109.82230997038498,118.16250663834309,117.22606120434354
